순위,동반등급,등록부매칭,식당명,카테고리,대분류,근거,주의,출처,도로명주소,전화,도보거리_m,도보_분,대표사진,네이버지도,식당ID,lat,lng
110,B·추정(확인필요),미확인,월스트릿휘낭시에,"디저트, 휘낭시에",카페·브런치,야외·테라스 좌석 신호('테라스') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 성수이로12길 8-1,0507-1368-8262,535,8,,https://map.naver.com/p/search/%EC%9B%94%EC%8A%A4%ED%8A%B8%EB%A6%BF%ED%9C%98%EB%82%AD%EC%8B%9C%EC%97%90,1dCh12hVFkvQ,37.5397727,127.0561726
111,B·추정(확인필요),미확인,성수옥상,"파스타, 루프탑",웨스턴(양식),야외·테라스 좌석 신호('옥상') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 연무장17길 5 4층,0507-1394-3723,575,9,,https://map.naver.com/p/search/%EC%84%B1%EC%88%98%EC%98%A5%EC%83%81,B1mOKEaB3avn,37.5412571,127.0609545
112,B·추정(확인필요),미확인,이태리차차,"파스타, 화덕피자",웨스턴(양식),야외·테라스 좌석 신호('테라스') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 연무장길 14-5 이태리차차 1층,02-465-8893,447,7,,https://map.naver.com/p/search/%EC%9D%B4%ED%83%9C%EB%A6%AC%EC%B0%A8%EC%B0%A8,PlzoV1lSYfa2,37.5435351,127.0510612
113,B·추정(확인필요),미확인,더가베,"카페, 루프탑",카페·브런치,야외·테라스 좌석 신호('루프탑') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 연무장13길 11 1층,0507-1412-3744,289,4,,https://map.naver.com/p/search/%EB%8D%94%EA%B0%80%EB%B2%A0,6ZXzU7XVhnyK,37.5428231,127.0583741
114,B·추정(확인필요),미확인,루드,"카페, 두쫀쿠",카페·브런치,야외·테라스 좌석 신호('테라스') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 연무장길 14 2층,0507-1304-8631,442,7,,https://map.naver.com/p/search/%EB%A3%A8%EB%93%9C,ZEq2CMy8HL6r,37.5436339,127.0510917
115,B·추정(확인필요),미확인,성수율 카페,"카페, 루프탑",카페·브런치,야외·테라스 좌석 신호('루프탑') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 성수이로16길 31,070-4651-6124,597,9,,https://map.naver.com/p/search/%EC%84%B1%EC%88%98%EC%9C%A8%20%EC%B9%B4%ED%8E%98,Tq9jKlsd8bUy,37.5402954,127.060042
116,B·추정(확인필요),미확인,페스티발,"호프집, 치맥",바·주류,야외·테라스 좌석 신호('야외') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 연무장9길 10-1,02-774-3643,157,2,,https://map.naver.com/p/search/%ED%8E%98%EC%8A%A4%ED%8B%B0%EB%B0%9C,2stEYXPXPZ5j,37.5431705,127.0560568
117,B·추정(확인필요),미확인,소루 에디트,"카페, 커피",카페·브런치,야외·테라스 좌석 신호('테라스') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 연무장11길 15 1층,0507-1420-0469,175,3,,https://map.naver.com/p/search/%EC%86%8C%EB%A3%A8%20%EC%97%90%EB%94%94%ED%8A%B8,DHISwXhwW9Vc,37.5434632,127.0573622
118,B·추정(확인필요),미확인,온슬,"요리주점, 루프탑",기타,야외·테라스 좌석 신호('루프탑') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 연무장7가길 5 3층,0507-1439-3226,177,3,,https://map.naver.com/p/search/%EC%98%A8%EC%8A%AC,T4qEFM5pm0CS,37.5431917,127.0549826
119,B·추정(확인필요),미확인,토메루 성수점,"이자카야, 꼬치",바·주류,야외·테라스 좌석 신호('테라스') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 연무장5가길 7 성수역 현대테라스타워 1층 118호,0507-1381-5484,186,3,,https://map.naver.com/p/search/%ED%86%A0%EB%A9%94%EB%A3%A8%20%EC%84%B1%EC%88%98%EC%A0%90,z19ElTCtGwle,37.5438577,127.0540514
120,B·추정(확인필요),미확인,트리츠,"아이스크림, 와플",카페·브런치,야외·테라스 좌석 신호('야외') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울 성동구 연무장길 70 1층,070-7209-1433,319,5,,https://map.naver.com/p/search/%ED%8A%B8%EB%A6%AC%EC%B8%A0,dTKXgJGEOZZ9,37.5418201,127.0569419
121,B·추정(확인필요),미확인,마르코웤스,"커피, 라떼",카페·브런치,야외·테라스 좌석 신호('야외') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 아차산로11길 26,010-9924-5021,394,6,,https://map.naver.com/p/search/%EB%A7%88%EB%A5%B4%EC%BD%94%EC%9B%A4%EC%8A%A4,4klG5pdI4c8m,37.5457468,127.0601825
122,B·추정(확인필요),미확인,파벤,"카페, 커피",카페·브런치,야외·테라스 좌석 신호('야외') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 성수이로 65,070-8888-4565,397,6,,https://map.naver.com/p/search/%ED%8C%8C%EB%B2%A4,r7ng4Cc5fL2d,37.5410259,127.0555175
123,B·추정(확인필요),미확인,캔앤코르크,와인바,바·주류,야외·테라스 좌석 신호('테라스') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 아차산로 107 2F,070-7543-0926,38,1,,https://map.naver.com/p/search/%EC%BA%94%EC%95%A4%EC%BD%94%EB%A5%B4%ED%81%AC,KpXdTPFyazBh,37.5448124,127.0562805
124,B·추정(확인필요),미확인,사델스,"브런치, 레스토랑",카페·브런치,야외·테라스 좌석 신호('테라스') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 연무장길 70,070-7209-1432,324,5,,https://map.naver.com/p/search/%EC%82%AC%EB%8D%B8%EC%8A%A4,zg77dQtyIgG7,37.541787,127.0570193
125,B·추정(확인필요),미확인,에이그레이트 카페 성수점,카페,카페·브런치,야외·테라스 좌석 신호('테라스') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 아차산로 144 1층 에이그레이트카페,0507-1362-8759,354,5,,https://map.naver.com/p/search/%EC%97%90%EC%9D%B4%EA%B7%B8%EB%A0%88%EC%9D%B4%ED%8A%B8%20%EC%B9%B4%ED%8E%98%20%EC%84%B1%EC%88%98%EC%A0%90,TUp8DZFvhS2l,37.5432373,127.0596041
126,B·추정(확인필요),미확인,폴린 커피바,"에스프레소, coffee",카페·브런치,야외·테라스 좌석 신호('테라스') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 연무장3길 13 폴린커피바,0507-1442-4451,380,6,,https://map.naver.com/p/search/%ED%8F%B4%EB%A6%B0%20%EC%BB%A4%ED%94%BC%EB%B0%94,K6Ty2nePFpfA,37.5449176,127.0516694
127,B·추정(확인필요),미확인,옥수동 화덕피자 성수,화덕피자,웨스턴(양식),야외·테라스 좌석 신호('테라스') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 뚝섬로13길 36 위즈엘 성수 8층,0507-1308-3336,415,6,,https://map.naver.com/p/search/%EC%98%A5%EC%88%98%EB%8F%99%20%ED%99%94%EB%8D%95%ED%94%BC%EC%9E%90%20%EC%84%B1%EC%88%98,9NQMcnMojHsT,37.5412825,127.0581668
128,B·추정(확인필요),미확인,기미사,"커피, 카페",카페·브런치,야외·테라스 좌석 신호('테라스') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),"서울특별시 성동구 성수이로26길 47 1층, 지하1층",0507-1380-9385,606,9,,https://map.naver.com/p/search/%EA%B8%B0%EB%AF%B8%EC%82%AC,c8P9RQFaAxwd,37.5450491,127.0628108
129,B·추정(확인필요),미확인,브레빌 카페앤스토어 성수,"카페, 루프탑",카페·브런치,야외·테라스 좌석 신호('루프탑') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 연무장길 39-7,02-2038-0184,245,4,,https://map.naver.com/p/search/%EB%B8%8C%EB%A0%88%EB%B9%8C%20%EC%B9%B4%ED%8E%98%EC%95%A4%EC%8A%A4%ED%86%A0%EC%96%B4%20%EC%84%B1%EC%88%98,PTyqc3lRldxM,37.5431735,127.0538217
130,B·추정(확인필요),미확인,예셰숄,"커피, 카페",카페·브런치,야외·테라스 좌석 신호('테라스') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 성수일로12길 18-1 1층,0507-1473-1334,489,7,,https://map.naver.com/p/search/%EC%98%88%EC%85%B0%EC%88%84,HSBomX4mnqWq,37.5483721,127.0531618
131,B·추정(확인필요),미확인,데우스카페 성수점,"피자, 루프탑",웨스턴(양식),야외·테라스 좌석 신호('루프탑') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),"서울특별시 성동구 뚝섬로17가길 56 1층, 2층",0507-1410-1817,510,8,,https://map.naver.com/p/search/%EB%8D%B0%EC%9A%B0%EC%8A%A4%EC%B9%B4%ED%8E%98%20%EC%84%B1%EC%88%98%EC%A0%90,LDqGpTRbZ43v,37.5409617,127.0595291
132,B·추정(확인필요),미확인,범 바,"위스키, 루프탑",기타,야외·테라스 좌석 신호('루프탑') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 성수이로7길 1 2층,02-6953-9944,571,9,,https://map.naver.com/p/search/%EB%B2%94%20%EB%B0%94,th3rVpXOd4Md,37.5395063,127.0549408
133,B·추정(확인필요),미확인,앤더슨씨 성수,"카페, 루프탑라운지",카페·브런치,야외·테라스 좌석 신호('루프탑') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 성수일로6길 36 신관 1층,02-468-0865,191,3,,https://map.naver.com/p/search/%EC%95%A4%EB%8D%94%EC%8A%A8%EC%94%A8%20%EC%84%B1%EC%88%98,FtCzBpQWqYZx,37.5444892,127.0538015
134,B·추정(확인필요),미확인,우스블랑 성수점,"베이커리, 루프탑",카페·브런치,야외·테라스 좌석 신호('루프탑') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 성수이로7가길 19-7 지하1~지상 3층,,311,5,,https://map.naver.com/p/search/%EC%9A%B0%EC%8A%A4%EB%B8%94%EB%9E%91%20%EC%84%B1%EC%88%98%EC%A0%90,MKFJhfB8lCmm,37.5418526,127.0551777
135,B·추정(확인필요),미확인,글리머,"칵테일, 루프탑",바·주류,야외·테라스 좌석 신호('루프탑') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 성수일로6길 47 F층,0507-1410-1285,65,1,,https://map.naver.com/p/search/%EA%B8%80%EB%A6%AC%EB%A8%B8,cBkHehK6wBkL,37.5443362,127.0552883
136,B·추정(확인필요),미확인,토키노,"카페, 루프탑",카페·브런치,야외·테라스 좌석 신호('루프탑') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 연무장5가길 22 2층,0507-1324-1020,164,2,,https://map.naver.com/p/search/%ED%86%A0%ED%82%A4%EB%85%B8,mbLEuQoCYd9s,37.5433029,127.0550307
137,B·추정(확인필요),미확인,리호,"와인바, 루프탑",바·주류,야외·테라스 좌석 신호('루프탑') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 연무장길 37-18 3층,0507-1401-4864,235,4,,https://map.naver.com/p/search/%EB%A6%AC%ED%98%B8,kHh906yUXCmj,37.543335,127.0538075
138,B·추정(확인필요),미확인,클라스카커피랩,"카페, 루프탑",카페·브런치,야외·테라스 좌석 신호('루프탑') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 연무장15길 11 B동 303호,070-8833-7701,330,5,,https://map.naver.com/p/search/%ED%81%B4%EB%9D%BC%EC%8A%A4%EC%B9%B4%EC%BB%A4%ED%94%BC%EB%9E%A9,nekK4IoAyehK,37.54283,127.0589872
139,B·추정(확인필요),미확인,심심,"위스키, 루프탑",기타,야외·테라스 좌석 신호('루프탑') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 연무장15길 11 B동 3층 308호,0507-1355-6788,407,6,,https://map.naver.com/p/search/%EC%8B%AC%EC%8B%AC,uxxNybhB1Mi1,37.5426237,127.0598616
140,B·추정(확인필요),미확인,뮤직 앤 갤러리,"카페, 루프탑",카페·브런치,야외·테라스 좌석 신호('루프탑') — 동반 허용 가능성(확인필요),추정 후보(야외·테라스 신호) — 반려동물 동반 가능 여부·조건은 방문 전 매장 확인 필수,공개 검색 신호(추정),서울특별시 성동구 연무장길 12 2층,0507-1341-3854,462,7,,https://map.naver.com/p/search/%EB%AE%A4%EC%A7%81%20%EC%95%A4%20%EA%B0%A4%EB%9F%AC%EB%A6%AC,ygvk8AZJLWeT,37.543731,127.0508331
